archiveID,url,verdict,detail
dr-jekyll-vs-the-werewolf-1972,https://archivewatch.org/subs/dr-jekyll-vs-the-werewolf-1972/en.vtt,ok,556 cues
kiss-of-death-1947-restored-movie-720p-hd,https://archivewatch.org/subs/kiss-of-death-1947-restored-movie-720p-hd/en.vtt,ok,1135 cues
First-8K-Video-from-Space,https://archivewatch.org/subs/First-8K-Video-from-Space/en.vtt,short,1 cues
gov.archives.arc.642010,https://archivewatch.org/subs/gov.archives.arc.642010/en.vtt,empty,no cue timestamps
1959-09-14_Reds_Lunik_Hits_The_Moon,https://archivewatch.org/subs/1959-09-14_Reds_Lunik_Hits_The_Moon/en.vtt,ok,13 cues
1945-05-10_Funeral_Pyres_of_Nazidom,https://archivewatch.org/subs/1945-05-10_Funeral_Pyres_of_Nazidom/en.vtt,ok,75 cues
OurWorldCareersAtNasa-MoreThanJustAstronauts,https://archivewatch.org/subs/OurWorldCareersAtNasa-MoreThanJustAstronauts/en.vtt,ok,120 cues
TheWomanInGreen1945,https://archivewatch.org/subs/TheWomanInGreen1945/en.vtt,ok,1247 cues
white_zombie,https://archivewatch.org/subs/white_zombie/en.vtt,ok,425 cues
Love_That_Bob-5x04_Bob_and_the_Ravishing_Realtor,https://archivewatch.org/subs/Love_That_Bob-5x04_Bob_and_the_Ravishing_Realtor/en.vtt,ok,440 cues
BeneathThe12-mileReef1953,https://archivewatch.org/subs/BeneathThe12-mileReef1953/en.vtt,ok,993 cues
TheApe1940,https://archivewatch.org/subs/TheApe1940/en.vtt,ok,804 cues
Streetfighter_778,https://archivewatch.org/subs/Streetfighter_778/en.vtt,ok,572 cues
PennySerenade,https://archivewatch.org/subs/PennySerenade/en.vtt,ok,1144 cues
EyesInTheNight720p1942,https://archivewatch.org/subs/EyesInTheNight720p1942/en.vtt,ok,1325 cues
island-of-lost-men-1939-,https://archivewatch.org/subs/island-of-lost-men-1939-/en.vtt,ok,1209 cues
TheLastTimeISawParis720p1954,https://archivewatch.org/subs/TheLastTimeISawParis720p1954/en.vtt,ok,1846 cues
1943-Wien-1910,https://archivewatch.org/subs/1943-Wien-1910/en.vtt,ok,1380 cues
1938-napoleon-ist-an-allem-schuld,https://archivewatch.org/subs/1938-napoleon-ist-an-allem-schuld/en.vtt,ok,1138 cues
black-sun_202103,https://archivewatch.org/subs/black-sun_202103/en.vtt,ok,442 cues
1951-house-of-strangers-odio-entre-hermanos-joseph-l.-mankiewicz-vose_202008,https://archivewatch.org/subs/1951-house-of-strangers-odio-entre-hermanos-joseph-l.-mankiewicz-vose_202008/en.vtt,ok,1124 cues
sapphire-1959_202506,https://archivewatch.org/subs/sapphire-1959_202506/en.vtt,ok,1248 cues
1953-city-that-never-sleeps-la-ciudad-que-nunca-duerme-john-h.-auer-vose,https://archivewatch.org/subs/1953-city-that-never-sleeps-la-ciudad-que-nunca-duerme-john-h.-auer-vose/en.vtt,ok,1193 cues
chatos-land-1972_202510,https://archivewatch.org/subs/chatos-land-1972_202510/en.vtt,ok,1067 cues
hit-the-ice-1943,https://archivewatch.org/subs/hit-the-ice-1943/en.vtt,ok,1310 cues
the-whistler-1944-colorized-movie-576p-sd,https://archivewatch.org/subs/the-whistler-1944-colorized-movie-576p-sd/en.vtt,ok,1145 cues
hollow-triumph-the-scar-1948-restored-movie-720p-hd,https://archivewatch.org/subs/hollow-triumph-the-scar-1948-restored-movie-720p-hd/en.vtt,ok,1178 cues
the-space-shuttle-narrated-by-william-shatner-SvaG0xDdP8g,https://archivewatch.org/subs/the-space-shuttle-narrated-by-william-shatner-SvaG0xDdP8g/en.vtt,ok,1568 cues
Software_3,https://archivewatch.org/subs/Software_3/en.vtt,ok,542 cues
iss069m261021754_Expedition_69_InFlight_UAE_Media_230412,https://archivewatch.org/subs/iss069m261021754_Expedition_69_InFlight_UAE_Media_230412/en.vtt,ok,535 cues
RealWorldToolsForConstruction-NasasLunarCrane,https://archivewatch.org/subs/RealWorldToolsForConstruction-NasasLunarCrane/en.vtt,ok,86 cues
Jack_Benny_11_04_1951,https://archivewatch.org/subs/Jack_Benny_11_04_1951/en.vtt,ok,298 cues
TheStranger720p,https://archivewatch.org/subs/TheStranger720p/en.vtt,ok,1291 cues
front-page-1931-pat-obrien,https://archivewatch.org/subs/front-page-1931-pat-obrien/en.vtt,ok,1890 cues
